Model,"Logistic Regression, polynom. order=1","Logistic Regression, polynom. order=1","Log. regression, pol. ord.=1; 3 even bin target","Log. regression, pol. ord.=1; 3 even bin target","Log. regression, pol. ord.=1; 4 even bin target","Log. regression, pol. ord.=1; 4 even bin target"
Feature set,Mean,Std. Dev.,Mean,Std. Dev.,Mean,Std. Dev.
Big data,0.426,0.034,0.47,0.035,0.399,0.036
Administrative data,0.576,0.045,0.555,0.033,0.457,0.033
"All data, combined",0.579,0.047,0.556,0.035,0.463,0.037
Age 0-14: parent and demographic,0.364,0.021,0.397,0.037,0.32,0.034
Age 15-18: incl. middle school,0.46,0.046,0.481,0.032,0.399,0.035
Task-specific,0.601,0.048,0.558,0.032,0.462,0.031
General,0.418,0.037,0.472,0.035,0.4,0.034
